Time (ms),Voltage (V)
5946.0,71.42
5959.0,30.2
5972.0,37.86
5986.0,73.86
5999.0,102.25
6012.0,111.09
6026.0,128.46
6039.0,162.7
6052.0,184.61
6066.0,202.68
6079.0,224.15
6092.0,212.04
6106.0,168.34
6119.0,134.18
6132.0,124.62
6146.0,134.79
6159.0,137.76
6172.0,120.74
6185.0,136.88
6199.0,195.23
6212.0,198.44
6225.0,110.1
6239.0,34.85
6252.0,40.72
6266.0,63.99
6280.0,64.48
6293.0,96.86
6306.0,160.56
6320.0,175.04
6333.0,132.88
6346.0,121.47
6360.0,177.31
6373.0,187.63
6386.0,90.34
6400.0,38.63
6413.0,103.77
6426.0,154.31
6439.0,144.59
6453.0,120.12
6466.0,76.92
6479.0,47.0
6493.0,65.73
6506.0,69.14
6519.0,19.68
6533.0,-11.02
6546.0,31.05
6559.0,75.9
6573.0,59.53
6586.0,68.77
6599.0,143.7
6612.0,169.46
6626.0,134.7
6639.0,127.39
6652.0,109.02
6666.0,31.84
6679.0,-24.2
6692.0,-1.18
6706.0,67.72
6719.0,111.99
6732.0,73.2
6746.0,-2.49
6759.0,-42.12
6772.0,-74.85
6786.0,-94.14
6799.0,-42.33
6812.0,6.03
6825.0,-36.45
6839.0,-93.04
6852.0,-90.13
6865.0,-55.71
6879.0,-3.0
6892.0,20.78
6905.0,-58.92
6920.0,-160.01
6933.0,-142.79
6946.0,-32.9
6960.0,31.26
6973.0,-18.57
6986.0,-98.74
7000.0,-109.37
7013.0,-64.08
7026.0,-14.48
7040.0,-8.4
7053.0,-57.46
7066.0,-134.95
7079.0,-308.1
7093.0,-545.45
7106.0,-593.27
7119.0,-438.26
7133.0,-339.17
7146.0,-342.77
7159.0,-317.45
7173.0,-250.94
7186.0,-205.72
7199.0,-181.97
7213.0,-101.41
7226.0,132.77
7239.0,442.75
7252.0,587.95
7266.0,520.09
7279.0,417.97
7292.0,385.63
7306.0,382.29
7319.0,363.4
7332.0,323.8
7346.0,242.42
7359.0,139.26
7372.0,94.27
7386.0,97.73
7399.0,64.72
7412.0,17.24
7426.0,23.67
7439.0,27.45
7452.0,-14.79
7465.0,-12.05
7479.0,44.13
7492.0,27.82
7505.0,-69.27
7519.0,-117.67
7532.0,-65.61
7545.0,-6.77
7559.0,-58.12
7573.0,-172.6
7586.0,-179.14
7600.0,-56.6
7613.0,17.87
7626.0,-72.81
7640.0,-183.64
7653.0,-142.6
7666.0,-59.66
7680.0,-84.59
7693.0,-140.81
7706.0,-126.11
7719.0,-93.43
7733.0,-110.11
7746.0,-125.12
7759.0,-92.49
7773.0,-53.67
7786.0,-33.09
7799.0,-23.21
7813.0,-36.07
7826.0,-59.04
7839.0,-64.75
7853.0,-59.71
7866.0,-48.09
7879.0,-38.07
7892.0,-68.03
7906.0,-117.98
7919.0,-93.82
7932.0,-10.93
7946.0,-5.71
7959.0,-80.18
7972.0,-112.4
7986.0,-100.02
7999.0,-107.67
8012.0,-103.22
8026.0,-73.88
8039.0,-71.12
8052.0,-62.17
8066.0,-11.35
8079.0,14.02
8092.0,-16.69
8105.0,-44.83
8119.0,-29.31
8132.0,-13.1
8145.0,-49.83
8159.0,-77.97
8172.0,-33.42
8185.0,7.35
8199.0,10.07
8213.0,40.1
8226.0,93.43
8240.0,123.89
8253.0,97.76
8266.0,24.23
8280.0,2.57
8293.0,50.1
8306.0,60.47
8320.0,36.72
8333.0,41.79
8346.0,39.63
8359.0,22.22
8373.0,32.71
8386.0,42.98
8399.0,47.23
8413.0,87.09
8426.0,103.57
8439.0,51.04
8453.0,16.39
8466.0,37.08
8479.0,56.36
8493.0,41.85
8506.0,2.55
8519.0,-21.66
8532.0,2.36
8546.0,35.97
8559.0,-10.46
8572.0,-90.85
8586.0,-31.9
8599.0,109.77
8612.0,127.99
8626.0,60.49
8639.0,53.21
8652.0,93.16
8666.0,112.99
8679.0,123.74
8692.0,129.82
8706.0,82.71
8719.0,13.95
8732.0,6.82
8745.0,42.39
8759.0,73.79
8772.0,87.79
8785.0,62.65
8799.0,22.04
8812.0,-10.73
8825.0,-48.99
8839.0,-45.76
8852.0,4.01
8866.0,1.4
8880.0,-52.13
8893.0,-40.15
8906.0,43.53
8920.0,71.98
8933.0,7.47
8946.0,-35.4
8960.0,6.74
8973.0,63.38
8986.0,72.59
8999.0,49.2
9013.0,41.34
9026.0,85.19
9039.0,125.92
9053.0,72.92
9066.0,-13.35
9079.0,-25.65
9093.0,0.67
9106.0,-22.65
9119.0,-159.58
9133.0,-368.26
9146.0,-454.93
9159.0,-361.7
9172.0,-264.07
9186.0,-248.44
9199.0,-235.24
9212.0,-187.82
9226.0,-145.89
9239.0,-122.83
9252.0,-98.34
9266.0,-60.62
9279.0,26.34
9292.0,239.01
9306.0,536.93
9319.0,693.13
9332.0,602.21
9346.0,452.38
9359.0,403.89
9372.0,387.22
9385.0,304.78
9399.0,224.89
9412.0,234.77
9425.0,208.87
9439.0,77.3
9452.0,19.79
9465.0,56.64
9479.0,41.31
9492.0,19.77
9505.0,68.06
9520.0,114.6
9533.0,120.36
9546.0,100.06
9560.0,37.26
9573.0,-42.12
9586.0,-74.87
9600.0,-66.79
